CLIENTE | ID=00123 | NOME=JOAO SILVA                     | SALDO=000010000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=00456 | NOME=MARIA SOUZA                    | SALDO=000025000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=00789 | NOME=CARLOS PEREIRA                 | SALDO=000005000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=00888 | NOME=ANA LIMA                       | SALDO=000003000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=01010 | NOME=PAULO MENDES                   | SALDO=000012000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=01111 | NOME=FERNANDA COSTA                 | SALDO=000008000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=01234 | NOME=LUCAS ALMEIDA                  | SALDO=000015000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=02020 | NOME=BEATRIZ ROCHA                  | SALDO=000022000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=03030 | NOME=RAFAEL SANTOS                  | SALDO=000007000 | STATUS=CLIENTE INSERIDO
CLIENTE | ID=04040 | NOME=CAMILA FREITAS                 | SALDO=000018000 | STATUS=CLIENTE INSERIDO
TRANSACAO | CLIENTE=00123 | TRX=00001 | TIPO=C | VALOR=000000500 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=00123 | TRX=00002 | TIPO=D | VALOR=000000200 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=00456 | TRX=00006 | TIPO=D | VALOR=000003000 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=00456 | TRX=00007 | TIPO=D | VALOR=000001000 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=00456 | TRX=00008 | TIPO=C | VALOR=000002500 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=00789 | TRX=00009 | TIPO=C | VALOR=000000300 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=00789 | TRX=00011 | TIPO=D | VALOR=000000700 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=00888 | TRX=00013 | TIPO=C | VALOR=000002000 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=00888 | TRX=00014 | TIPO=D | VALOR=000001000 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=01010 | TRX=00024 | TIPO=D | VALOR=000002500 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=01010 | TRX=00025 | TIPO=C | VALOR=000001000 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=01111 | TRX=00016 | TIPO=D | VALOR=000000500 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=01111 | TRX=00017 | TIPO=D | VALOR=000007500 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=01234 | TRX=00020 | TIPO=C | VALOR=000002000 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=01234 | TRX=00021 | TIPO=D | VALOR=000001000 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=02020 | TRX=00023 | TIPO=C | VALOR=000001250 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=02020 | TRX=00026 | TIPO=D | VALOR=000005000 | STATUS=DEBITO PROCESSADO
TRANSACAO | CLIENTE=04040 | TRX=00030 | TIPO=C | VALOR=000001000 | STATUS=CREDITO PROCESSADO
TRANSACAO | CLIENTE=04040 | TRX=00032 | TIPO=D | VALOR=000003000 | STATUS=DEBITO PROCESSADO
